Titles for 2017 from The New York Times,
1.        ,    An Elusive Immigration Compromise
2.        ,    Warning of Corruption in the Immigration System
3.        ,    Rethinking Our Immigration System
4.        ,    Job One at Homeland Security Under Trump: Immigration
5.        ,    White House Issues Immigration Cues
6.        ,    Court Curbs Immigration Detainers
7.        ,    Immigration: Moral and Economic Views
8.        ,    A Senseless Immigration Proposal
9.        ,    Rethinking Our Immigration System Letters
10.       ,  Immigration: Moral and Economic Perspectives Letters
11.       ,  Blocking a Bad Immigration Law
12.       ,  An Elusive Immigration Compromise Op-Ed Columnist
13.       ,"  Claims of Corrupt Immigration Contractors Go Unexamined, Investigators Say"
14.       ,  Labour can win immigration debate
15.       ,  Trump’s Immigration Policies Explained
16.       ,  Trump Seeks to Limit Legal Immigration
17.       ,  The Immigration Debate We Need
18.       ,  Ignorant Immigration Reform Op-Ed Contributor
19.       ,  Democrats on Tightrope In Immigration Debate
20.       ,  When Immigration Comes Home
21.       ,  Trump Seeks to Limit Legal Immigration Letters
22.       ,  Free Rein for Immigration Agents
23.       ,  Trump Embraces a Senseless Immigration Proposal Editorial
24.       ,"  Hard-Liners on Immigration, Now in High Places"
25.       ,"  In Reversal, Immigration Agency Will Consider Delayed DACA Requests"
26.       ,"  In Reversal, Immigration Agency Will Consider Delayed DACA Requests"
27.       ,  Terror Suspects Become Ammunition in War Over Immigration
28.       ,  How Immigration Helps Canada
29.       ,  An Immigration Program Criticized by Both Parties
30.       ,  White House Considers Tougher Rules as Part of Immigration Overhaul
31.       ,  Immigration Proposals 'Conspicuously Absent' From Budget Bill
32.       ,"  In Reversal, Immigration Agency Will Consider Delayed DACA Requests"
33.       ,  Blocking a Bad Immigration Law in Texas Editorial
34.       ,  Tech Industry Frets Over Possible Immigration Changes
35.       ,"  Immigration Agents Should Not ‘Stalk’ Courts, California Justice Says"
36.       ,"  Out of Chaos, Trump Reshapes Immigration"
37.       ,  Argentina 's Immigration Crackdown Rattles Region
38.       ,  Texas Immigration Bill Draws Protesters
39.       ,"  Canada's Immigration Door, and Ours"
40.       ,  'Merit-Based' Rules Could Reshape Immigration
41.       ,  Immigration as a security threat
42.       ,  Immigration Agents Arrest Hundreds in Sweep of Sanctuary Cities
43.       ,  Caught Anew In the Struggle Over Immigration
44.       ,  Immigration Agents Arrest Hundreds in Sweep of Sanctuary Cities
45.       ,  De Blasio Defends New York Policies on Immigration
46.       ,  Trump Supports Plan to Cut Legal Immigration by Half
47.       ,  Trump Administration Halts Reports on Immigration Cooperation
48.       ,  The Terms of Immigration Reporting
49.       ,  Canadian Immigration Is More Complex Than It Looks
50.       ,"  In Trump Era, States Are Shifting Focus to Immigration Laws"
51.       ,  The Democrats’ Immigration Problem Contributing Op-Ed Writer
52.       ,  Major Elements of Trump's New Immigration Policies
53.       ,"  Man Sets Himself on Fire in Sydney, Protesting Immigration Policy"
54.       ,  Disorder and the Immigration Order
55.       ,  Immigration’s Sudden Re-Emergence Scrambles Republican Agenda
56.       ,  Trump’s Immigration Proposals ‘Conspicuously Absent’ From Spending Bill
57.       ,  The Immigration Debate We Need Op-Ed Contributor
58.       ,  How Immigration Foiled Hillary Contributing Op-Ed Writer
59.       ,"  Long Island Police Are Working Illegally With Immigration Agents, Suit Says"
60.       ,  Educators Prepare for Immigration Agents at the Schoolhouse
61.       ,"  Man Sets Himself on Fire in Sydney, Protesting Immigration Policy"
62.       ,  Protesters Vow Defiance After Miami Heeds Immigration Order
63.       ,"  Canada, Immigration and the U.S. Letters"
64.       ,"  With Ally in Oval Office, Immigration Hard-Liners Ascend to Power"
65.       ,  The Fallout From the Immigration Ban
66.       ,  New Chief Is Named for Immigration Enforcement
67.       ,  How to End the Immigration Wars
68.       ,"  Once Routine, Immigration Check-Ins Are Now High Stakes"
69.       ,"  Under Trump, Wall of Red Tape Hinders Legal Immigration"
70.       ,  How to Make America Greater: Allow More Immigration
71.       ,  How Trump’s ‘Merit-Based’ Immigration System Might Work
72.       ,  Can Immigration Hurt the Economy? An Old Prejudice Returns Economic Scene
73.       ,  Disorder and the Immigration Order Letters
74.       ,"  House Passes 2 Strict Immigration Bills, at Trump’s Urging"
75.       ,  Transgender Women Fear Abuse in Immigration Detention
76.       ,  The Trap of Immigration Porn
77.       ,  Sessions Presses Immigration Agenda in a Sanctuary City
78.       ,  U.S. Citizen Detained by Mistake Sues Miami-Dade Over Immigration Enforcement
79.       ,  The Fallout From the Immigration Ban Letters
80.       ,"  House Passes 2 Strict Immigration Bills, at President's Urging"
81.       ,  Immigration Agents Arrest 600 People Across U.S. in One Week
82.       ,  Trump Looks to Australia in Overhauling Immigration System The Breakdown
83.       ,  Trump's Immigration Order Expands the Definition of 'Criminal'
84.       ,  In the Wake of Immigration Arrests
85.       ,  School Officials Brace for Potential Visits From Immigration Agents
86.       ,  Choice of Pro-Immigration Economic Adviser Riles Trump’s Base
87.       ,  Father of Maryland Teenager Accused of Rape Is Arrested on Immigration Charge
88.       ,  Argentina ’s Trump-Like Immigration Order Rattles South America
89.       ,  How to Make America Greater: More Immigration Economic Scene
90.       ,  Deportation Arrest Highlights Tensions in Los Angeles on Immigration
91.       ,  Trump's Immigration Order Expands the Definition of 'Criminal'
92.       ,"  Sweden , Nation of Open Arms, Rethinks Immigration"
93.       ,  The Costs of Immigration and Diversity
94.       ,  Spicer Says Maryland Rape Case Shows Need for Illegal Immigration Crackdown
95.       ,  How Brexit Britain Can Reset the Immigration Debate Op-Ed Contributor
96.       ,  Trump Rolls Out His Crackdown on Immigration
97.       ,  Reader Idea | Building Community Through Shared Immigration Stories
98.       ,"  After White House Issues Demands, Hopes for an Immigration Deal Dim"
99.       ,  Texas Immigration Bill Draws Protesters to the State Capitol
100.     ,I Accidentally Turned My Dad In to Immigration Services On Campus
101.     ,Motel 6 Workers Tipped Off Immigration Agency About Guests
102.     ,States Have Already Passed Almost Twice as Many Immigration Laws as Last Year
103.     ,Daily Report: Tech's Continuing Immigration Debate
104.     ,Jaguars ' Owner Opposes Immigration Ban
105.     ,"Illegal, Undocumented, Unauthorized: The Terms of Immigration Reporting"
106.     ,Trump Names Thomas Homan as Acting Immigration Enforcement Chief
107.     ,Sheriffs' Bind on Immigration: Cross Trump or the U.S. Courts
108.     ,"Times Sq. Bomb, and Calls to Limit Immigration"
109.     ,Immigration Arrests Rise Sharply as a Trump Mandate Is Carried Out
110.     ,Traveling in the Wake of Immigration Arrests
111.     ,Analyzing Trump’s Immigration Ban: A Lesson Plan
112.     ,Trump Administration Touts Border Arrests as Proof of Crackdown on Illegal Immigration
113.     ,Immigration as a Security Threat Contributing Op-Ed Writer
114.     ,"Even Before Trump Acts on Immigration, New Yorkers Protest"
115.     ,"Sessions Presses Immigration Agenda in Philadelphia, a Sanctuary City"
116.     ,Immigration Officials Taking New Steps to Discourage Smuggling of Children
117.     ,"Even Before Trump Acts on Immigration, New Yorkers Protest"
118.     ,Arrest for Deportation Highlights Tensions in Los Angeles on Immigration
119.     ,The Immigration Facts Donald Trump Doesn’t Like Editorial
120.     ,White House Pressed Unsuccessfully to End Immigration Program
121.     ,Immigration Arrests Stun Iraqis Who Fled Over Christian Faith
122.     ,Handcuffs at Dawn: Riding Along on an Immigration Sweep
123.     ,No Sanctuary for the Immigration Lawyer
124.     ,Trump Administration Targets Parents in New Immigration Crackdown
125.     ,Immigration Arrests Rise Sharply as Agents Carry Out a Trump Mandate
126.     ,"In Denmark , Passage of Rules on Immigration Called for Cake"
127.     ,"Canada’s Immigration System, Lauded by Trump, Is More Complex Than Advertised"
128.     ,Trump to Revive Push on Immigration Crackdown on Long Island Trip
129.     ,Guadagno Takes Right Turn on Immigration in Waning Days of Campaign
130.     ,Here to Help; Three Books to Help You Understand the Immigration Debate
131.     ,Trump's Immigration Ban Is Illegal Op-Ed Contributor
132.     ,"Report on Local Immigration Cooperation, Criticized as Inaccurate, Is Suspended"
133.     ,Daily Report: Tech’s Continuing Immigration Debate Bits
134.     ,"In Denmark , Passage of Rules on Immigration Called for Cake"
135.     ,"Without New Laws or Walls, Trump Presses the Brake on Legal Immigration"
136.     ,Canada’s Ruthlessly Smart Immigration Policy Op-Ed Contributor
137.     ,Transgender Women Fear Mistreatment and Abuse in Immigration Detention
138.     ,Eric Cantor: How to End the Immigration Wars Opinion
139.     ,"As Travel Ban Takes Effect, 3 Books That Delve Into the Immigration Debate Newsbook"
140.     ,President's Idea of Compromise Shows Congress Hasn't Gotten Far on Immigration
141.     ,Angry Mayors Vow to Defy Trump Immigration Order
142.     ,"In Little Guyana , Proposed Cuts to Family Immigration Weigh Heavily"
143.     ,"Sweden , Nation of Open Arms, Debates Implications of Immigration"
144.     ,The Immigration Policies of Dwarf Mongooses
145.     ,A Tweet Stirs Up Canada's Immigration Debate
146.     ,Tech Companies Fight Trump Immigration Order in Court
147.     ,Trump Administration Considers Separating Families to Combat Illegal Immigration
148.     ,"In One Week, Agents Arrest 600 People Across the U.S. in Immigration Raids"
149.     ,"Stoking Fears, Trump Defied Bureaucracy to Advance Immigration Agenda Trump’s Way"
150.     ,She Met Yearly With Immigration Agents. Now They've Deported Her.
151.     ,Motel 6 Employees in Arizona Tipped Off Immigration Officers About Guests
152.     ,Guadagno Takes Right Turn on Immigration in Waning Days of Campaign
153.     ,'A Broader View' vs. 'An Invasion': Dutch Voters Speak Out on Immigration
154.     ,New ‘Hamilton Mixtape’ Music Video Takes Aim at Immigration
155.     ,‘A Broader View’ vs. ‘An Invasion’: Dutch Voters Speak Out on Immigration
156.     ,"In Pick of Pro-Immigration Economic Adviser, the President's Base Senses Betrayal"
157.     ,Trump Administration Targets Parents in New Immigration Crackdown
158.     ,The DACA ‘Fix’ That Immigration Activists Fear Notebook
159.     ,A Tweet Stirs Up Canada’s Immigration Debate
160.     ,"After the Times Square Bomb, Calls to Limit Immigration Letters"
161.     ,Why Trump Supporters Distrust Immigration and Diversity Op-Ed Contributor
162.     ,Teaching Activities for: ‘Immigration Officials Taking New Steps to Discourage Smuggling of Children’ Article of the Day
163.     ,Yiddish Theater Plans an Immigration Arts Summit
164.     ,Trump Immigration Crackdown Is Great for Private Prison Stocks Strategies
165.     ,"Support Softening, Le Pen Raises Volume on Curbing Immigration"
166.     ,Guest List Highlights Illegal Immigration as a Security Issue
167.     ,"Meeting a Town’s Beloved Resident, Months After Telling His Immigration Story The Daily"
168.     ,"As Trump Tightens Legal Immigration, Canada Woos Tech Firms"
169.     ,"A Reporter Returns to Southern Illinois to Talk About Life, Immigration, Coal The Times in Person"
170.     ,She Showed Up Yearly to Meet Immigration Agents. Now They’ve Deported Her.
171.     ,No Sanctuary for the Immigration Lawyer Editorial Observer
172.     ,"Peter Kwong, Authority on Chinese Immigration, Dies at 75"
173.     ,Speaking Truth to Trump on Immigration Op-Ed Columnist
174.     ,"In Nighttime Tweet, Trump Offers Mixed Message on Immigration News Analysis"
175.     ,Immigration Inquiry Draws Protest at Tom Cat Bakery
176.     ,'Sanctuary City' Mayors Vow to Defy Trump's Immigration Order
177.     ,Rape Charges to Be Dropped in Case Cited by White House as Immigration Issue
178.     ,Police Fear Trump Immigration Orders May Handcuff Effort to Fight Gangs
179.     ,Avoiding the Trap of Immigration Porn Contributing Op-Ed Writer
